Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
26-05-2008,BAJAJ-AUTO,2101.05,898,898,551.35,600.25,604.75,624.61,3972485,2.48E+14
27-05-2008,BAJAJ-AUTO,604.75,624.7,639,580.3,595.5,593.15,606.43,1751063,1.06E+14
28-05-2008,BAJAJ-AUTO,593.15,561.65,621.9,561.65,605.1,608.15,608.75,1652355,1.01E+14
29-05-2008,BAJAJ-AUTO,608.15,619.4,619.4,576,600,599.45,600.98,669269,4.02E+13
30-05-2008,BAJAJ-AUTO,599.45,605.4,607,538,576.25,571.7,565.55,1262117,7.14E+13
02-06-2008,BAJAJ-AUTO,571.7,605.5,615,570.7,573,580.8,598.3,206640,1.24E+13
03-06-2008,BAJAJ-AUTO,580.8,596,602,555.15,577,579.7,575.83,157283,9.06E+12
04-06-2008,BAJAJ-AUTO,579.7,597.85,597.85,547.5,550,552.1,563.64,326450,1.84E+13
05-06-2008,BAJAJ-AUTO,552.1,553,588.8,532.4,548,562.4,560.7,238915,1.34E+13
06-06-2008,BAJAJ-AUTO,562.4,567,574.7,544.4,572,568.8,564.38,73920,4.17E+12
09-06-2008,BAJAJ-AUTO,568.8,575,575,524,552,548.8,545.82,321199,1.75E+13
10-06-2008,BAJAJ-AUTO,548.8,575.5,575.5,547,550,550.4,551.58,58118,3.21E+12
11-06-2008,BAJAJ-AUTO,550.4,560,560,528,528.2,530.5,536.09,87793,4.71E+12
12-06-2008,BAJAJ-AUTO,530.5,511,527,510.7,520,519.45,518.85,50729,2.63E+12
13-06-2008,BAJAJ-AUTO,519.45,514.25,525,501.2,508,505.9,508.57,123934,6.30E+12
16-06-2008,BAJAJ-AUTO,505.9,510,518,489.45,491.8,494.65,503.45,61592,3.10E+12
17-06-2008,BAJAJ-AUTO,494.65,490.45,510,482.6,505,506.7,500.42,71476,3.58E+12
18-06-2008,BAJAJ-AUTO,506.7,510.1,531,500,514.95,516.45,514.41,105505,5.43E+12
19-06-2008,BAJAJ-AUTO,516.45,500.2,527,500.2,507.65,512.55,516.94,140483,7.26E+12
20-06-2008,BAJAJ-AUTO,512.55,507,519,493.6,515,512.1,506.49,76656,3.88E+12
23-06-2008,BAJAJ-AUTO,512.1,500,514.9,499,499,502.3,503.85,89888,4.53E+12
24-06-2008,BAJAJ-AUTO,502.3,495,506,471.15,485,479,496.3,174131,8.64E+12
25-06-2008,BAJAJ-AUTO,479,450,502,450,493.15,497.3,489.76,72533,3.55E+12
26-06-2008,BAJAJ-AUTO,497.3,519.9,519.9,469.05,491.3,488.95,480.09,185234,8.89E+12
27-06-2008,BAJAJ-AUTO,488.95,465.9,476.85,435,440.1,453.95,452.97,260609,1.18E+13
30-06-2008,BAJAJ-AUTO,453.95,454,459.95,445.35,451,450.35,452.65,115006,5.21E+12
01-07-2008,BAJAJ-AUTO,450.35,450,457,433,449,447.1,446.16,170197,7.59E+12
02-07-2008,BAJAJ-AUTO,447.1,430.15,457.95,430.15,448,453.5,449.32,245296,1.10E+13
03-07-2008,BAJAJ-AUTO,453.5,445,448,390.15,410,408.6,428.09,308168,1.32E+13
04-07-2008,BAJAJ-AUTO,408.6,403.5,433,401,420,421,420.56,62087,2.61E+12
07-07-2008,BAJAJ-AUTO,421,425,441,425,437,435.5,434.46,130708,5.68E+12
08-07-2008,BAJAJ-AUTO,435.5,418.1,439.9,414,439.8,434.5,424.58,262122,1.11E+13
09-07-2008,BAJAJ-AUTO,434.5,446,456.9,440,452,451.75,451.6,104747,4.73E+12
10-07-2008,BAJAJ-AUTO,451.75,450,532,441.05,530,498.45,468.17,247021,1.16E+13
11-07-2008,BAJAJ-AUTO,498.45,508,508.1,482,500,499.95,499.51,135338,6.76E+12
14-07-2008,BAJAJ-AUTO,499.95,515,515,481,502,501.65,495.97,110414,5.48E+12
15-07-2008,BAJAJ-AUTO,501.65,480.35,497.8,477,484.95,479.85,485.46,44758,2.17E+12
16-07-2008,BAJAJ-AUTO,479.85,500,500,444.15,452.3,455,450.71,412815,1.86E+13
17-07-2008,BAJAJ-AUTO,455,475,484.95,461,465,467.6,465.34,124802,5.81E+12
18-07-2008,BAJAJ-AUTO,467.6,461,473,455,464,464.1,465,71613,3.33E+12
21-07-2008,BAJAJ-AUTO,464.1,474,505,470,505,498.9,491.02,323713,1.59E+13
22-07-2008,BAJAJ-AUTO,498.9,490.15,504,485.05,495,495.05,495.38,25042,1.24E+12
23-07-2008,BAJAJ-AUTO,495.05,514.15,529,498,528.95,519,511.97,116969,5.99E+12
24-07-2008,BAJAJ-AUTO,519,506.2,534,506.2,521.5,520.65,521.24,26647,1.39E+12
25-07-2008,BAJAJ-AUTO,520.65,503.25,525,503.25,511.25,509.95,516.79,54204,2.80E+12
28-07-2008,BAJAJ-AUTO,509.95,500.25,524.7,500.25,520,515.55,514.8,30877,1.59E+12
29-07-2008,BAJAJ-AUTO,515.55,506,515,501.35,510,509.4,508.48,9914,5.04E+11
30-07-2008,BAJAJ-AUTO,509.4,483.95,524.95,483.95,520,519.75,515.57,8670,4.47E+11
31-07-2008,BAJAJ-AUTO,519.75,501.15,539,494.6,539,533.7,527.66,44391,2.34E+12
01-08-2008,BAJAJ-AUTO,533.7,516,532.9,507,507,517.65,519.79,238858,1.24E+13
04-08-2008,BAJAJ-AUTO,517.65,510.05,524,510,520,519,516.44,14815,7.65E+11
05-08-2008,BAJAJ-AUTO,519,505.7,530,501,521.55,526.6,517.14,585044,3.03E+13
06-08-2008,BAJAJ-AUTO,526.6,525.1,571.4,525.1,557.1,562.25,553.94,107023,5.93E+12
07-08-2008,BAJAJ-AUTO,562.25,566,574.4,545,558.25,560.05,557.51,55986,3.12E+12
08-08-2008,BAJAJ-AUTO,560.05,551.2,569,548,548,551.9,556.98,15983,8.90E+11
11-08-2008,BAJAJ-AUTO,551.9,554,577,552,562,569.35,570.43,24326,1.39E+12
12-08-2008,BAJAJ-AUTO,569.35,569.85,574.9,548.5,555,553.35,562.66,16393,9.22E+11
13-08-2008,BAJAJ-AUTO,553.35,543,575,542.25,568.1,570.9,562.65,27582,1.55E+12
14-08-2008,BAJAJ-AUTO,570.9,562.05,571,555.15,566,565.85,562.71,132460,7.45E+12
18-08-2008,BAJAJ-AUTO,565.85,554.85,560,532.95,545,551.4,542.36,104270,5.66E+12
19-08-2008,BAJAJ-AUTO,551.4,554.8,554.85,532.25,548,547.45,547.52,20292,1.11E+12
20-08-2008,BAJAJ-AUTO,547.45,537.15,573,537.15,540.5,544.25,549.67,25318,1.39E+12
21-08-2008,BAJAJ-AUTO,544.25,535,555,512,515,520.15,538.11,18332,9.86E+11
22-08-2008,BAJAJ-AUTO,520.15,506.1,543,506.1,534.95,531.85,532.31,167796,8.93E+12
25-08-2008,BAJAJ-AUTO,531.85,570,570,527.15,540,541.9,545.28,38359,2.09E+12
26-08-2008,BAJAJ-AUTO,541.9,541,550,530.1,550,549.05,537.62,410862,2.21E+13
27-08-2008,BAJAJ-AUTO,549.05,554.9,585,548.8,575,578.8,568.55,473832,2.69E+13
28-08-2008,BAJAJ-AUTO,578.8,576,590,564,585,583.7,582.66,371006,2.16E+13
29-08-2008,BAJAJ-AUTO,583.7,578,590.25,568.7,588,588.2,588.22,133642,7.86E+12
01-09-2008,BAJAJ-AUTO,588.2,584.3,590,572.65,589,585.8,584.33,166626,9.74E+12
02-09-2008,BAJAJ-AUTO,585.8,594.3,608,587,607,603.05,598.85,331224,1.98E+13
04-09-2008,BAJAJ-AUTO,603.05,593.6,618,590,614.25,610.3,602.33,238887,1.44E+13
05-09-2008,BAJAJ-AUTO,610.3,609.55,614.95,591.15,612,606.95,605.51,126692,7.67E+12
08-09-2008,BAJAJ-AUTO,606.95,612,618.9,596.05,597.1,598.9,607.64,24334,1.48E+12
09-09-2008,BAJAJ-AUTO,598.9,587.15,605,585.2,595,592.15,595.4,39601,2.36E+12
10-09-2008,BAJAJ-AUTO,592.15,590,624.9,587.3,620,619.6,615.78,217186,1.34E+13
11-09-2008,BAJAJ-AUTO,619.6,616,622,610,615.5,617.2,615.25,285350,1.76E+13
12-09-2008,BAJAJ-AUTO,617.2,619.95,641.9,607.6,630,632.4,634.67,237619,1.51E+13
15-09-2008,BAJAJ-AUTO,632.4,606.7,624.45,606.7,615,615.25,615.15,79035,4.86E+12
16-09-2008,BAJAJ-AUTO,615.25,605.25,622.5,602,620.05,620.5,615.52,71804,4.42E+12
17-09-2008,BAJAJ-AUTO,620.5,609.1,625,587.1,591.7,608.55,617.82,96066,5.94E+12
18-09-2008,BAJAJ-AUTO,608.55,572,629.5,559,619.95,617.15,600,151516,9.09E+12
19-09-2008,BAJAJ-AUTO,617.15,625,625,602.3,608.9,607.8,612.32,269723,1.65E+13
22-09-2008,BAJAJ-AUTO,607.8,606,618.95,603,604,607.5,608.06,60266,3.66E+12
23-09-2008,BAJAJ-AUTO,607.5,611.8,611.8,587.25,600,605.8,596.97,164644,9.83E+12
24-09-2008,BAJAJ-AUTO,605.8,593.5,611,561.1,564.95,581.4,602.82,228942,1.38E+13
25-09-2008,BAJAJ-AUTO,581.4,569.95,609.9,561.5,600,598.75,585.66,91059,5.33E+12
26-09-2008,BAJAJ-AUTO,598.75,586.5,599.8,586.5,587.05,591.6,593.07,114852,6.81E+12
29-09-2008,BAJAJ-AUTO,591.6,590,597.85,559,572,571,575.81,101895,5.87E+12
30-09-2008,BAJAJ-AUTO,571,548,609.9,535.25,609.9,594.9,591.75,260167,1.54E+13
01-10-2008,BAJAJ-AUTO,594.9,601,617,571.3,599.95,600.05,600.72,54337,3.26E+12
03-10-2008,BAJAJ-AUTO,600.05,581.35,598.7,570.25,571,576.95,593.21,54130,3.21E+12
06-10-2008,BAJAJ-AUTO,576.95,556,600,556,575,574.3,585.99,153780,9.01E+12
07-10-2008,BAJAJ-AUTO,574.3,579.05,601,560.2,584,582.65,579.43,46113,2.67E+12
